n,eph,per
8163,3.38658e-2,1.3319156
8163,2.4907e-2,0.9779083
8163,3.17123e-2,1.2428973
8163,3.46496e-2,1.1208644
8163,2.72326e-2,1.3778693
8163,1.6071e-2,0.9839092
8163,1.71132e-2,0.9811218
8163,1.5835e-2,1.2795742
8163,1.66725e-2,0.9889075
8163,3.57759e-2,1.256907
8163,3.75394e-2,1.0077958
8163,1.78635e-2,1.1999999
8163,1.63739e-2,0.984178
8163,2.84658e-2,1.1398264
8163,1.58456e-2,1.0699339
8163,1.69531e-2,0.9338128
8163,3.18565e-2,1.3317575
10612,2.10277e-2,1.3222999
10612,2.59351e-2,1.630903
10612,2.60578e-2,1.6541308
10612,2.24285e-2,1.1953877
10612,2.11992e-2,1.6704945
10612,2.04579e-2,1.4032991
10612,4.53066e-2,1.5293051
10612,2.34052e-2,1.4597713
10612,2.29629e-2,1.3253087
10612,2.2337e-2,1.4966727
10612,2.1235e-2,1.5850723
10612,2.13828e-2,1.5223366
10612,2.05002e-2,1.242589
10612,5.11592e-2,1.5647945
10612,2.16261e-2,1.428051
10612,2.33442e-2,1.3808057
10612,4.49753e-2,1.7289714
10612,2.04221e-2,1.6096296
10612,2.21137e-2,1.4441701
10612,3.26327e-2,1.695799
13796,2.8563e-2,1.9256358
13796,3.16301e-2,2.2700499
13796,2.89636e-2,2.0702085
13796,2.98373e-2,1.706423
13796,5.70464e-2,1.8809622
13796,3.88201e-2,1.8631549
13796,7.91865e-2,2.1077689
13796,2.74939e-2,1.8649607
13796,8.51221e-2,2.1621275
13796,2.89857e-2,1.9222074
13796,5.73523e-2,2.2204709
13796,3.33236e-2,1.8959084
13796,6.17422e-2,2.1045385
13796,3.88176e-2,2.2150199
13796,2.88895e-2,1.7293251
13796,5.12057e-2,2.2276033
13796,2.81811e-2,1.8757381
13796,5.89638e-2,2.3336853
13796,3.20209e-2,1.6464624
13796,5.8974e-2,2.1633815
17935,4.03966e-2,2.7744128
17935,6.63713e-2,4.2243264
17935,6.32993e-2,3.596782
17935,6.53915e-2,3.1061715
17935,4.87647e-2,3.0126548
17935,6.87861e-2,2.4632503
17935,6.05344e-2,2.819462
17935,3.80129e-2,2.4716983
17935,0.1062593,3.0578011
17935,4.36132e-2,2.7732071
17935,5.3333e-2,2.2655306
17935,3.80233e-2,3.023494
17935,3.93028e-2,2.5478907
17935,3.78448e-2,2.39146
17935,3.827e-2,2.3546883
17935,6.97389e-2,2.9809703
17935,6.36256e-2,2.5252712
17935,7.80919e-2,3.1144046
17935,6.30664e-2,2.4484866
17935,7.81892e-2,2.9774065
23316,6.02475e-2,3.5381389
23316,5.19521e-2,3.6440724
23316,8.03803e-2,3.30048
23316,5.11258e-2,3.8850162
23316,5.0943e-2,3.8823003
23316,7.23772e-2,3.6408421
23316,5.25732e-2,3.0807409
23316,5.07149e-2,3.4800361
23316,5.13193e-2,3.8525671
23316,7.41141e-2,3.8828156
23316,5.49334e-2,3.0875483
23316,5.83071e-2,4.0487738
23316,7.68751e-2,3.0070388
23316,5.3458e-2,4.0085103
23316,5.00948e-2,3.7211525
23316,5.62867e-2,3.4326614
23316,5.02851e-2,3.9475426
23316,7.19378e-2,3.2524571
23316,6.11337e-2,3.9672461
23316,5.12207e-2,3.1185171
30311,0.1089689,5.587258
30311,6.81073e-2,5.1719542
30311,9.19127e-2,4.8977253
30311,0.1662797,5.8260225
30311,0.1309472,5.1509155
30311,0.113873,5.4274645
30311,6.92443e-2,4.3253631
30311,0.1372117,5.7021299
30311,6.8118e-2,5.0984362
30311,7.09404e-2,5.4679518
30311,8.23674e-2,5.6013206
30311,0.1069814,5.2891922
30311,0.1045774,5.1174661
30311,9.07635e-2,5.8041461
30311,6.83204e-2,4.5958308
30311,9.95566e-2,5.0700541
30311,6.72496e-2,5.2926301
30311,6.74063e-2,4.7568865
30311,9.97901e-2,5.0581233
30311,6.84101e-2,4.5621087
39405,0.1335414,7.2427309
39405,9.87665e-2,6.8245214
39405,8.82204e-2,5.9380798
39405,0.1188364,7.9859803
39405,0.1252902,5.944378
39405,9.74251e-2,7.4400155
39405,0.1216177,5.9219078
39405,0.1103978,6.3026712
39405,9.02494e-2,7.3842341
39405,0.102785,5.8041286
39405,0.1192913,7.6447815
39405,0.1392307,6.3224004
39405,0.2257279,7.7424454
39405,0.1272798,6.7989249
39405,8.89612e-2,5.9032704
39405,0.1246935,6.9897848
39405,9.18174e-2,7.3934081
39405,9.08165e-2,7.2759966
39405,9.76765e-2,5.8531078
39405,0.120423,6.3094651
51227,0.25061,9.8676205
51227,0.1683263,8.6368393
51227,0.1764389,9.7875693
51227,0.277505,9.7413973
51227,0.1415257,10.8712242
51227,0.1531914,7.8542908
51227,0.3074618,10.9608949
51227,0.1193243,8.0523537
51227,0.2955744,10.2563973
51227,0.1546286,11.0998159
51227,0.156458,7.7823957
51227,0.3291387,10.9518932
51227,0.1434718,7.982162
51227,0.2936378,9.7451003
51227,0.1630827,11.0679535
51227,0.1195846,7.8609869
51227,0.3292305,9.6767698
51227,0.123149,10.7327861
51227,0.1644256,8.0086437
51227,0.2998969,10.7777125
66596,0.2071417,12.0372357
66596,0.1859162,12.5303925
66596,0.1747087,11.2125617
66596,0.403605,13.0685009
66596,0.1588487,14.0833633
66596,0.1597217,13.2669231
66596,0.1845792,10.6788233
66596,0.1863968,13.0799995
66596,0.1574278,11.1709096
66596,0.2216045,11.1475627
66596,0.3771581,13.4661265
66596,0.1869624,13.4042229
66596,0.2088597,13.5043726
66596,0.1584405,10.5098793
66596,0.1885355,13.1728332
66596,0.1819141,10.9864533
66596,0.1580701,11.2030093
66596,0.3867818,12.6924469
66596,0.1648427,13.4218445
66596,0.1560502,13.6913891
86575,0.221823,17.0058392
86575,0.2875181,14.5730745
86575,0.2348279,16.3687331
86575,0.5210863,19.5499425
86575,0.2520146,14.0904651
86575,0.2374009,19.9726706
86575,0.2524313,14.5299919
86575,0.2686126,16.9604092
86575,0.2266363,18.8438981
86575,0.2854999,14.1683182
86575,0.2996063,16.4382806
86575,0.5047138,18.990773
86575,0.2966698,15.3817227
86575,0.2097252,16.3772492
86575,0.2083406,16.0193497
86575,0.2564616,17.4263895
86575,0.2844453,16.6747954
86575,0.2130346,17.4899648
86575,0.2674884,18.4523663
86575,0.2466342,15.1358945
112548,0.2753612,22.833917
112548,0.3280083,21.0894047
112548,0.2800177,21.2650933
112548,0.3259258,23.1595051
112548,0.7294636,25.466653
112548,0.3414738,21.3516885
112548,0.315283,22.7759859
