seed,n,eph,per
8,179222,0.8438761,30.8164194
8,179222,0.7893955,26.2382065
9,179222,1.1703027,32.1681049
9,179222,0.8180479,27.6973752
10,179222,0.8030705,30.6232042
10,179222,0.9463504,28.857506
11,179222,1.3655492,27.8926228
11,179222,1.5080401,29.6899691
12,179222,0.8656851,31.238648
12,179222,0.751622,27.9683679
13,179222,1.4993593,29.0164405
13,179222,0.7765402,29.931156
14,179222,0.8542336,31.8379005
14,179222,0.8699481,30.865533
0,232989,1.0989772,38.8407805
0,232989,1.1978532,38.399259
1,232989,1.1227259,36.5346544
1,232989,1.9574416,40.2466899
2,232989,1.1093962,40.306365
2,232989,1.1072566,34.8322324
3,232989,2.0209466,37.522155
3,232989,1.5554259,39.5344552
4,232989,1.2080471,44.0882625
4,232989,1.1443243,35.9892084
5,232989,1.0482659,38.5216624
5,232989,1.1491754,34.5822713
6,232989,1.8879469,37.4272695
6,232989,1.960356,43.0556026
7,232989,1.1820193,36.1170278
7,232989,1.2371575,38.7612039
8,232989,1.879621,40.6669534
8,232989,1.1531561,40.1751947
9,232989,1.1564506,38.7755761
9,232989,1.2064776,38.6972784
10,232989,1.855998,40.0115873
10,232989,1.060749,46.1006536
11,232989,1.1482002,36.2677479
11,232989,1.7132123,43.2454487
12,232989,1.2289348,36.369502
12,232989,1.8483105,40.3653532
13,232989,1.8963691,41.7433906
13,232989,1.1092074,39.8423977
14,232989,1.1583592,40.7322899
14,232989,1.2066492,40.8754921
0,302886,2.5262237,60.8568977
