n,eph,per,splits
10,20032,2576,2
13,33040,3336,3
17,55680,4696,5
23,100152,6320,6
30,168416,8288,8
39,282104,10856,11
51,479048,14280,15
67,822280,18904,21
88,1412632,24808,27
115,2404936,32512,36
150,4081856,42528,48
195,6885896,55368,63
254,11666784,72056,81
