seed,n,eph,per
9,115,111456,29936
10,115,112680,29576
11,115,114120,26808
12,115,108864,29568
13,115,124056,28744
14,115,112536,29696
15,115,109728,27976
16,115,118296,28048
17,115,110952,27656
18,115,109512,26896
19,115,135288,28536
20,115,146736,29080
21,115,124056,27616
22,115,107280,28184
23,115,126936,28736
24,115,106272,26600
25,115,120096,29040
26,115,118872,28880
27,115,123264,28256
28,115,114768,28184
29,115,133848,27720
0,150,171944,44192
1,150,159920,38752
2,150,160856,38792
3,150,152720,33680
4,150,161288,35688
5,150,209744,36016
6,150,164888,36232
7,150,178280,36568
8,150,160568,36528
9,150,155024,37680
10,150,162512,36536
11,150,160424,35976
12,150,157976,34488
13,150,199088,37464
14,150,155816,35792
15,150,153872,36040
16,150,173240,37320
17,150,168272,36672
18,150,170216,36768
19,150,204128,37304
20,150,157688,37680
21,150,174752,35576
22,150,161936,37032
23,150,168056,35712
24,150,161360,37568
25,150,163664,35632
26,150,170072,36888
27,150,181232,38104
28,150,168848,36680
29,150,167696,37304
0,195,244232,57520
1,195,224144,48968
2,195,219032,46992
3,195,241640,47792
4,195,226448,47496
5,195,252296,48960
6,195,246392,48064
7,195,239192,47552
8,195,226016,49216
9,195,225728,48904
10,195,231776,46456
11,195,211184,47424
12,195,234008,46528
13,195,284480,46448
14,195,238328,50488
15,195,227816,47888
16,195,209384,47744
17,195,231344,45144
18,195,235160,48744
19,195,248480,49408
20,195,229616,48320
21,195,227168,44880
22,195,236960,49480
23,195,217088,48144
24,195,267128,48856
25,195,224144,44352
26,195,216656,48136
27,195,228680,47376
28,195,214928,47176
29,195,227240,48640
0,254,333832,75360
1,254,327208,60856
2,254,303160,62560
3,254,320872,63720
4,254,319864,60872
5,254,338296,65200
6,254,322600,62840
7,254,324328,64176
8,254,329152,61112
9,254,290056,65576
10,254,305176,64568
11,254,300424,62800
12,254,297832,60368
13,254,346792,61120
14,254,300136,62072
15,254,352696,62936
16,254,280912,60584
17,254,300928,60352
18,254,307840,60832
19,254,338944,65536
20,254,338512,62920
21,254,297328,62160
22,254,309640,60704
23,254,295672,63168
24,254,325264,63880
25,254,328288,61248
26,254,279976,62640
27,254,307624,63248
28,254,332824,61184
29,254,341536,62368
0,331,408384,97448
1,331,451368,84232
2,331,411768,81144
3,331,558504,83472
4,331,451440,84224
5,331,433152,82208
6,331,444384,82360
7,331,426024,81240
8,331,428328,82232
9,331,410256,78408
10,331,459432,87184
11,331,418392,83280
12,331,422712,79432
13,331,421992,81664
14,331,429480,83944
15,331,460224,80840
16,331,426672,84024
17,331,529632,82080
18,331,429624,85728
19,331,422928,84040
20,331,396720,81920
21,331,438552,80536
22,331,469440,83584
23,331,408672,83160
24,331,436248,80792
25,331,445752,79304
26,331,408960,83024
27,331,419328,83944
28,331,565560,82488
29,331,425376,78544
0,431,557704,125264
1,431,678232,108440
2,431,604576,109736
3,431,687592,107584
4,431,593848,108632
5,431,597880,106264
6,431,573112,105552
7,431,593128,107016
8,431,601264,107552
9,431,567352,105280
10,431,705736,108816
11,431,592624,108232
12,431,587728,108128
13,431,572392,106304
14,431,579232,107320
15,431,621856,103488
16,431,571096,111624
17,431,749224,107640
18,431,576064,108448
19,431,574840,103632
20,431,543376,107608
21,431,609112,104664
22,431,664480,108160
23,431,608680,107952
24,431,631576,107352
25,431,632224,106776
26,431,610696,107200
27,431,604360,104688
28,431,688168,104680
29,431,581536,105784
0,561,781880,169896
1,561,909896,141400
2,561,847616,139944
3,561,820544,138752
4,561,879800,138904
5,561,834440,138232
6,561,848480,137976
7,561,823064,139384
8,561,838040,143280
9,561,774032,137976
10,561,923864,140824
11,561,811760,139120
12,561,827744,141232
13,561,776264,143136
14,561,816512,139984
15,561,815072,140376
16,561,879008,139000
17,561,850784,137088
18,561,787712,136544
19,561,795992,141800
20,561,773744,140360
21,561,773456,142024
22,561,867272,138256
23,561,832784,141424
24,561,861224,139968
25,561,928544,139864
26,561,765824,138752
27,561,897800,139536
28,561,863096,136648
29,561,845960,139144
0,730,1068888,214288
1,730,1170120,179760
2,730,1127280,179464
3,730,1099056,177936
4,730,1212816,189072
5,730,1326288,182328
6,730,1190712,183512
7,730,1140960,181064
8,730,1077024,182000
9,730,1166736,181336
10,730,1189632,177208
11,730,1082424,179624
12,730,1131600,181848
13,730,1065000,181296
14,730,1063848,183856
15,730,1073640,180552
16,730,1262856,182168
17,730,1108056,182944
18,730,1171200,183392
19,730,1097832,182824
20,730,1133256,179336
21,730,1057728,181576
22,730,1176816,180808
23,730,1135632,185472
24,730,1136208,182336
25,730,1179912,181416
26,730,1058808,184776
27,730,1206552,182216
28,730,1179840,182872
29,730,1129080,182104
0,949,1589568,283240
1,949,1542192,236240
2,949,1546080,235288
3,949,1543776,235920
4,949,1561632,234928
5,949,1652424,241072
6,949,1536576,237952
7,949,1541184,234368
8,949,1541328,237112
9,949,1491864,239752
10,949,1712976,229544
11,949,1491792,234936
12,949,1512456,232504
13,949,1459032,234624
14,949,1491432,237024
15,949,1468752,236136
16,949,1589496,237336
17,949,1546656,232760
18,949,1575312,237000
19,949,1456224,243368
20,949,1514400,238288
21,949,1514976,237192
22,949,1595256,242832
23,949,1475016,234896
24,949,1607568,238344
25,949,1574232,240016
26,949,1472784,239120
27,949,1648320,233696
28,949,1751424,239512
29,949,1563504,236216
