n,per,splits
10,6104,4
13,7928,5
17,10312,6
23,14104,9
30,18600,13
39,24216,17
51,31656,22
67,41912,31
88,55256,42
115,72248,55
150,94152,71
195,122664,94
254,160168,125
331,208760,163
431,271672,211
561,353832,276
730,461144,364
949,599192,471
1234,779384,614
1605,1013640,798
2087,1318120,1038
2714,1714600,1353
3529,2229608,1760
4588,2898824,2289
