n,per,splits
921,441392,304
922,441832,304
923,442272,304
924,442712,304
925,443272,305
926,443712,305
927,444152,305
928,444592,305
929,445272,307
930,445712,307
931,446152,307
932,446592,307
933,447152,308
934,447592,308
935,448032,308
936,448472,308
937,449032,309
938,449472,309
939,449912,309
940,450352,309
941,450912,310
942,451352,310
943,451792,310
944,452232,310
945,452912,312
946,453352,312
947,453792,312
948,454232,312
949,454792,313
950,455232,313
951,455672,313
952,456112,313
953,456672,314
954,457112,314
955,457552,314
956,457992,314
957,458552,315
958,458992,315
959,459432,315
960,459872,315
961,460672,318
962,461112,318
963,461552,318
964,461992,318
965,462552,319
966,462992,319
967,463432,319
968,463872,319
969,464432,320
970,464872,320
971,465312,320
972,465752,320
973,466312,321
974,466752,321
975,467192,321
976,467632,321
977,468312,323
978,468752,323
979,469192,323
980,469632,323
981,470192,324
982,470632,324
983,471072,324
984,471512,324
985,472072,325
986,472512,325
987,472952,325
988,473392,325
989,473952,326
990,474392,326
991,474832,326
992,475272,326
993,475952,328
994,476392,328
995,476832,328
996,477272,328
997,477832,329
998,478272,329
999,478712,329
1000,479152,329
