n,per
10,4312
13,5752
17,7752
23,10512
30,13832
39,18152
51,23912
67,31672
88,41632
115,54592
150,71432
195,93032
254,121152
331,158272
431,206112
561,268712
730,349672
949,454792
1234,591712
1605,769832
2087,1001112
2714,1301952
3529,1693192
4588,2201392
