seed,n,tem,per
29,48269,265625000,1796875000
0,62750,250000000,2046875000
1,62750,468750000,2265625000
2,62750,484375000,1953125000
3,62750,500000000,2328125000
4,62750,500000000,2343750000
5,62750,359375000,2609375000
6,62750,343750000,1765625000
7,62750,437500000,2562500000
8,62750,453125000,2156250000
9,62750,437500000,2093750000
10,62750,500000000,2140625000
11,62750,484375000,2343750000
12,62750,421875000,1953125000
13,62750,453125000,2328125000
14,62750,421875000,1968750000
15,62750,531250000,2046875000
16,62750,421875000,2562500000
17,62750,375000000,2406250000
18,62750,328125000,1828125000
19,62750,546875000,2390625000
20,62750,500000000,2578125000
21,62750,468750000,2500000000
22,62750,390625000,2156250000
23,62750,375000000,2015625000
24,62750,515625000,2453125000
25,62750,328125000,2718750000
26,62750,437500000,2125000000
27,62750,437500000,2281250000
28,62750,468750000,2625000000
29,62750,390625000,1984375000
0,81575,546875000,2734375000
1,81575,718750000,3312500000
2,81575,578125000,4015625000
3,81575,656250000,2781250000
4,81575,593750000,2937500000
5,81575,703125000,2968750000
6,81575,703125000,2890625000
7,81575,531250000,3640625000
8,81575,484375000,3125000000
9,81575,609375000,3562500000
10,81575,593750000,3031250000
11,81575,640625000,3156250000
12,81575,640625000,2734375000
13,81575,687500000,3671875000
14,81575,593750000,2375000000
15,81575,671875000,3250000000
16,81575,703125000,3156250000
17,81575,671875000,2984375000
18,81575,625000000,2656250000
19,81575,703125000,2906250000
20,81575,765625000,2984375000
21,81575,609375000,2968750000
22,81575,640625000,3812500000
23,81575,578125000,2750000000
24,81575,640625000,3437500000
25,81575,546875000,3906250000
26,81575,640625000,3312500000
27,81575,562500000,2609375000
28,81575,718750000,3640625000
29,81575,421875000,3250000000
0,106048,703125000,3937500000
1,106048,828125000,3968750000
2,106048,1000000000,4078125000
3,106048,1015625000,4000000000
4,106048,937500000,4453125000
5,106048,781250000,5140625000
6,106048,875000000,3593750000
7,106048,937500000,4250000000
8,106048,859375000,5156250000
9,106048,828125000,3890625000
10,106048,875000000,3781250000
11,106048,921875000,3734375000
12,106048,1062500000,5546875000
13,106048,765625000,3640625000
14,106048,906250000,3187500000
15,106048,1000000000,4015625000
16,106048,515625000,3531250000
17,106048,843750000,3843750000
18,106048,812500000,3875000000
19,106048,906250000,4453125000
20,106048,734375000,4000000000
21,106048,796875000,4609375000
22,106048,625000000,4093750000
23,106048,750000000,4375000000
24,106048,765625000,3562500000
25,106048,843750000,4515625000
26,106048,546875000,4562500000
27,106048,765625000,3328125000
28,106048,984375000,4953125000
29,106048,921875000,4812500000
0,137863,1000000000,5703125000
1,137863,1203125000,5250000000
2,137863,1203125000,6812500000
3,137863,1140625000,6203125000
4,137863,1203125000,6484375000
5,137863,1093750000,4937500000
6,137863,1312500000,6718750000
7,137863,875000000,5171875000
8,137863,1156250000,5390625000
9,137863,1140625000,6937500000
10,137863,1015625000,6687500000
11,137863,1125000000,4546875000
12,137863,1187500000,5781250000
13,137863,1406250000,5265625000
14,137863,1234375000,5437500000
15,137863,1250000000,5203125000
16,137863,1234375000,5140625000
17,137863,1281250000,5546875000
18,137863,1328125000,6265625000
19,137863,1281250000,5406250000
20,137863,1312500000,5203125000
21,137863,1265625000,4937500000
22,137863,1234375000,4937500000
23,137863,1343750000,4906250000
24,137863,1234375000,5781250000
25,137863,1203125000,5375000000
26,137863,1390625000,7156250000
27,137863,1203125000,6000000000
28,137863,937500000,6500000000
29,137863,1062500000,5703125000
0,179222,1734375000,9781250000
1,179222,1359375000,6218750000
2,179222,1765625000,9562500000
3,179222,1296875000,7734375000
4,179222,1281250000,7484375000
5,179222,1750000000,9328125000
6,179222,1750000000,6578125000
7,179222,1546875000,7078125000
8,179222,1781250000,6625000000
9,179222,1796875000,7078125000
10,179222,1687500000,9718750000
11,179222,1218750000,9203125000
12,179222,1671875000,7531250000
13,179222,1781250000,7781250000
14,179222,1937500000,9656250000
15,179222,1515625000,8906250000
16,179222,1500000000,7531250000
17,179222,1687500000,8812500000
18,179222,1234375000,6796875000
19,179222,1843750000,10375000000
20,179222,1812500000,8296875000
21,179222,1703125000,7625000000
22,179222,1703125000,7437500000
23,179222,1875000000,7890625000
24,179222,1781250000,9375000000
25,179222,1093750000,8843750000
26,179222,1843750000,8578125000
